NR_FAKT NAZWA LP JEZYK SR MIN MAX KWOTA VAT KARTA MIEJSCE DATEin DATEsell DATEpay WORKER TIME
FN_11/17 HH_dd 8 angielski 3384.72991278 2889.35412218 3880.10570338 27077.8393022 False False Londyn 2018-09-09 2018-09-06 14 D 35.5972183226
FN_6/17 DD_dd 5 polski 862.993133755 467.37267326 1258.61359425 4314.96566878 False False Warszawa 2017-06-11 2017-06-01 14 D 25.5242831603
FN_14/17 HH_aa 8 polski 7426.40025549 4153.95578518 10698.8447258 59411.2020439 False False Warszawa 2017-09-21 2017-09-18 30 D 27.6518341307
FN_13/17 AA_ee 1 angielski 3699.3890216 2780.01764195 4618.76040124 3699.3890216 True False Londyn 2017-06-25 2017-06-14 30 D 18.5478183292
FN_10/17 II_bb 10 polski 4703.47826186 2518.67652756 6888.27999616 47034.7826186 True False Warszawa 2018-06-09 2018-05-30 30 D 23.8713891835
FN_6/17 GG_aa 29 polski 14.8891288712 4.91668575232 24.8615719901 431.784737265 True False Sopot 2018-10-15 2018-10-13 7 D 12.5910906904
FN_9/17 BB_ff 4 angielski 10607.899617 9045.53684866 12170.2623852 42431.5984678 False False Londyn 2017-04-04 2017-03-29 30 D 29.5444507367
FN_15/17 JJ_ff 8 polski 1945.96798427 1733.4905486 2158.44541995 15567.7438742 False False Lublin 2017-02-02 2017-02-01 7 D 29.3876237713
FN_2/17 CC_jj 2 angielski 4736.35602832 3524.82729201 5947.88476462 9472.71205664 False False Londyn 2017-08-16 2017-08-06 7 D 24.1208041669
FN_5/17 HH_jj 6 polski 9281.93674701 8338.94351804 10224.929976 55691.6204821 False False Warszawa 2018-04-28 2018-04-18 14 D 24.7380824029
FN_5/17 CC_aa 10 angielski 8963.64802957 8845.88463315 9081.41142599 89636.4802957 False False Londyn 2018-01-10 2018-01-02 30 D 41.530753455
FN_11/17 AA_ee 27 angielski 9.21614275411 2.39583209235 16.0364534159 248.835854361 True False Londyn 2018-08-22 2018-08-20 7 D 12.1281413464
FN_12/17 II_gg 10 angielski 8744.2030381 4496.72532778 12991.6807484 87442.030381 False False Londyn 2018-06-17 2018-06-13 14 D 40.2051028168
FN_3/17 FF_cc 1 angielski 3754.78080045 2570.44676984 4939.11483106 3754.78080045 True False Londyn 2017-04-01 2017-03-24 7 D 21.1279339828
FN_7/17 HH_ff 9 polski 3231.97314214 2781.12945176 3682.81683253 29087.7582793 False False Sopot 2018-07-15 2018-07-08 30 D 28.846171965
FN_5/17 JJ_ii 25 polski 2.44453258324 -1.152041265 6.04110643149 61.1133145811 True False Warszawa 2018-11-17 2018-11-08 30 D 10.611787822
FN_12/17 JJ_ff 10 polski 4335.1419247 3433.55480043 5236.72904896 43351.419247 False False Warszawa 2018-05-11 2018-05-06 14 D 29.1166911083
FN_3/17 GG_ee 27 polski 17.7367308664 -8.84028229855 44.3137440313 478.891733393 True False Warszawa 2017-12-06 2017-11-27 30 D 10.289537707
FN_9/17 DD_hh 6 angielski 11399.7896078 6100.41643367 16699.1627819 68398.7376466 False False Londyn 2018-02-01 2018-01-18 14 D 31.0214454476
FN_8/17 FF_dd 5 angielski 8433.18482081 6372.29799253 10494.0716491 42165.924104 True False Londyn 2018-05-13 2018-05-01 30 D 21.258705219
FN_14/17 DD_jj 28 polski 9.28505221387 -4.95650875333 23.5266131811 259.981461988 True False Warszawa 2018-06-03 2018-05-23 7 D 11.4174101229
FN_14/17 EE_ii 10 angielski 8351.97924901 6255.81679217 10448.1417058 83519.7924901 True False Londyn 2018-01-26 2018-01-20 7 D 23.886065801
FN_1/17 JJ_aa 3 angielski 3814.93209019 2751.20194449 4878.66223588 11444.7962706 False False Londyn 2018-12-29 2018-12-16 7 D 24.5225756537
FN_10/17 II_bb 1 polski 1581.93165897 1521.99095191 1641.87236603 1581.93165897 False False Sopot 2017-08-03 2017-07-23 14 D 22.173140242
FN_13/17 EE_bb 9 angielski 2227.43401209 1807.20472821 2647.66329598 20046.9061088 True False Londyn 2017-01-07 2017-01-04 14 D 21.8849482242
FN_9/17 BB_hh 2 angielski 2360.71520826 2311.58304613 2409.84737039 4721.43041652 False False Londyn 2018-04-07 2018-04-06 30 D 22.4212470626
FN_7/17 FF_aa 22 angielski 22.9435073426 11.464479088 34.4225355972 504.757161537 True False Londyn 2017-08-24 2017-08-11 30 D 6.37856678555
FN_9/17 FF_aa 6 angielski 5008.3687292 2752.34924195 7264.38821645 30050.2123752 False False Londyn 2018-11-01 2018-10-21 7 D 33.577285749
FN_15/17 FF_bb 1 angielski 6932.01250873 4900.3544005 8963.67061695 6932.01250873 False True Londyn 2018-11-17 2018-11-12 30 D 21.0837904482
FN_13/17 BB_ff 10 polski 5239.34396015 3421.02646707 7057.66145322 52393.4396015 True False Warszawa 2018-02-18 2018-02-07 7 D 23.8507377308
FN_4/17 HH_hh 2 angielski 10996.9785687 6259.39067747 15734.56646 21993.9571375 False False Londyn 2017-04-16 2017-04-13 7 D 24.0499114741
FN_1/17 FF_ii 5 polski 3237.49335242 2280.84499055 4194.1417143 16187.4667621 False False Lublin 2018-12-23 2018-12-20 7 D 25.124110808
FN_7/17 HH_jj 23 angielski 16.4661949606 7.44854499088 25.4838449303 378.722484093 True False Londyn 2017-03-30 2017-03-21 30 D 9.93194625164
FN_2/17 GG_bb 23 angielski 17.9079900682 3.62267020953 32.1933099269 411.883771569 True False Londyn 2018-11-30 2018-11-21 30 D 9.65975516848
FN_14/17 CC_dd 10 angielski 5278.067484 3126.36539149 7429.76957651 52780.67484 False False Londyn 2018-03-17 2018-03-08 30 D 40.7875633338
FN_13/17 HH_jj 29 angielski 6.31112598261 -5.1414046441 17.7636566093 183.022653496 True True Londyn 2018-05-15 2018-05-12 7 D 26.8173924624
FN_4/17 GG_dd 24 angielski 23.2935711383 0.147148974472 46.4399933021 559.045707319 True False Londyn 2017-08-19 2017-08-16 30 D 8.47835097235
FN_11/17 AA_gg 8 angielski 3551.8622369 1827.85992974 5275.86454406 28414.8978952 False False Londyn 2017-10-24 2017-10-11 7 D 35.9958925598
FN_8/17 JJ_aa 24 angielski 14.3602348978 -0.634500839028 29.3549706346 344.645637547 True False Londyn 2018-03-08 2018-03-05 14 D 11.5732599493
FN_8/17 AA_dd 2 polski 7250.57504619 6434.94803517 8066.20205722 14501.1500924 False False Lublin 2018-04-13 2018-04-02 7 D 23.8427155047
FN_4/17 AA_hh 5 polski 9847.81545215 7302.19846969 12393.4324346 49239.0772608 False False Sopot 2017-09-02 2017-08-24 7 D 25.242650715
FN_12/17 II_ff 1 angielski 9601.63086471 7496.98676994 11706.2749595 9601.63086471 False False Londyn 2017-02-27 2017-02-18 7 D 22.0784446708
FN_9/17 EE_jj 9 angielski 9847.80246609 5648.24463132 14047.3603008 88630.2221948 False False Londyn 2018-05-22 2018-05-11 14 D 38.0959042174
FN_11/17 CC_bb 6 angielski 8862.82710258 6432.02788719 11293.626318 53176.9626155 True False Londyn 2018-12-03 2018-11-22 30 D 21.0386773492
FN_4/17 CC_bb 3 angielski 2629.34141056 2405.56498022 2853.11784089 7888.02423167 False True Londyn 2017-01-13 2017-01-06 30 D 20.558440489
FN_5/17 DD_ee 5 polski 6254.82385703 4556.12066714 7953.52704691 31274.1192851 False False Warszawa 2018-06-28 2018-06-16 30 D 27.079583016
FN_15/17 AA_ff 6 polski 3335.74231094 2476.79558357 4194.68903832 20014.4538657 False False Sopot 2017-04-10 2017-03-29 30 D 25.4804466235
FN_9/17 JJ_cc 4 polski 7893.03269808 4151.67778183 11634.3876143 31572.1307923 False False Warszawa 2017-03-09 2017-03-05 14 D 23.8539270806
FN_9/17 BB_gg 7 angielski 11384.5627918 6274.20188361 16494.9236999 79691.9395424 False False Londyn 2018-02-05 2018-01-29 14 D 33.6507600532
FN_8/17 GG_ee 1 polski 5061.50906535 3961.43730292 6161.58082777 5061.50906535 False False Warszawa 2017-02-23 2017-02-09 30 D 20.6089539679
FN_2/17 CC_cc 6 angielski 4797.30217572 4360.00274883 5234.60160261 28783.8130543 False False Londyn 2017-11-07 2017-11-03 14 D 32.4415318391
FN_4/17 CC_bb 4 polski 2279.18934134 1166.20183568 3392.176847 9116.75736535 False False Sopot 2018-01-12 2018-01-07 7 D 25.6387565
FN_14/17 BB_aa 5 polski 4338.77940876 3288.79893022 5388.75988729 21693.8970438 False False Lublin 2017-10-15 2017-10-12 30 D 25.8127057758
FN_10/17 EE_gg 9 angielski 8627.12235208 4671.65364924 12582.5910549 77644.1011688 True False Londyn 2017-12-26 2017-12-14 30 D 22.9050344948
FN_5/17 AA_ee 6 angielski 9055.24120539 7186.02702028 10924.4553905 54331.4472323 False False Londyn 2018-02-27 2018-02-15 30 D 32.9922430109
FN_10/17 BB_ee 27 angielski 24.4800058156 2.56742787759 46.3925837536 660.960157021 True False Londyn 2017-11-21 2017-11-21 30 D 10.8403468535
FN_5/17 EE_ee 3 polski 9233.73081122 7132.41614271 11335.0454797 27701.1924337 False False Warszawa 2018-10-11 2018-10-10 7 D 22.3986208491
FN_8/17 FF_ii 2 polski 4394.90048019 2541.36091941 6248.44004098 8789.80096038 False False Lublin 2018-02-15 2018-02-08 7 D 22.2351323069
FN_9/17 FF_jj 9 polski 1538.77215749 1213.53488946 1864.00942552 13848.9494174 False True Sopot 2018-07-14 2018-07-12 7 D 23.206400218
FN_14/17 FF_aa 6 polski 4158.30478405 2345.96186549 5970.6477026 24949.8287043 False False Warszawa 2017-01-01 2016-12-28 14 D 25.5341665462
FN_9/17 BB_aa 9 angielski 8096.12037507 6126.50158415 10065.739166 72865.0833756 False False Londyn 2018-02-26 2018-02-20 7 D 37.2023833658
FN_6/17 GG_ff 10 angielski 2355.70501342 2328.95452358 2382.45550325 23557.0501342 False False Londyn 2017-07-28 2017-07-18 7 D 38.333159996
FN_5/17 AA_hh 7 angielski 10944.3129 9415.91824653 12472.7075536 76610.1903003 False False Londyn 2018-02-01 2018-01-30 14 D 32.9655950219
FN_12/17 II_hh 9 angielski 7737.99862753 5955.47240667 9520.5248484 69641.9876478 False False Londyn 2017-01-22 2017-01-18 14 D 38.6597403287
FN_6/17 DD_aa 8 polski 7234.89128594 5662.73225964 8807.05031225 57879.1302875 False False Sopot 2017-02-27 2017-02-25 7 D 27.4358147944
FN_9/17 EE_gg 3 polski 805.57550178 439.242902778 1171.90810078 2416.72650534 False False Warszawa 2018-10-24 2018-10-14 7 D 22.8677355167
FN_4/17 II_gg 21 polski 1.07071200275 -3.65217474796 5.79359875346 22.4849520577 True False Lublin 2017-05-27 2017-05-13 14 D 8.33128291813
FN_9/17 CC_ii 2 polski 484.375797763 449.179078761 519.572516765 968.751595526 False False Warszawa 2018-11-25 2018-11-14 14 D 1.92117583451
FN_2/17 DD_cc 21 polski 24.6467301916 5.24846617241 44.0449942109 517.581334024 True False Lublin 2018-05-18 2018-05-05 30 D 6.88966841131
FN_6/17 EE_dd 1 angielski 8896.51698485 4904.66326229 12888.3707074 8896.51698485 False False Londyn 2018-05-07 2018-05-05 7 D 22.1380620355
FN_4/17 CC_ii 4 polski 8018.08070281 6375.25589173 9660.90551389 32072.3228112 True True Lublin 2017-07-23 2017-07-09 7 D 21.3199046128
FN_4/17 AA_aa 30 angielski 14.6785661113 -13.5844447308 42.9415769535 440.35698334 True False Londyn 2017-09-08 2017-08-31 7 D 12.8977751129
FN_8/17 EE_bb 10 polski 685.19052316 429.894727342 940.486318978 6851.9052316 True False Warszawa 2018-02-16 2018-02-02 30 D 26.9076011938
FN_7/17 GG_ii 9 polski 7782.41782368 6155.43941708 9409.39623028 70041.7604131 False False Sopot 2018-09-09 2018-08-26 7 D 30.02477531
FN_13/17 FF_jj 9 angielski 5073.94076283 3098.86163677 7049.01988888 45665.4668655 False False Londyn 2018-05-15 2018-05-09 14 D 38.4585830127
FN_11/17 CC_ee 26 polski 9.99587037352 -3.17592507053 23.1676658176 259.892629711 True False Lublin 2018-02-19 2018-02-10 30 D 10.9482207167
FN_6/17 JJ_ee 26 angielski 1.45582981193 -9.94144956278 12.8531091866 37.8515751103 True False Londyn 2018-07-18 2018-07-12 7 D 12.8262595566
FN_4/17 FF_ff 28 polski 1.44315991335 -3.17034777843 6.05666760513 40.4084775737 True False Warszawa 2018-05-04 2018-04-20 14 D 10.2285515164
FN_6/17 AA_bb 4 polski 4421.78996111 4208.73672754 4634.84319467 17687.1598444 True False Lublin 2018-09-02 2018-08-24 7 D 20.420220511
FN_13/17 BB_gg 3 polski 1252.32243972 634.353936525 1870.29094291 3756.96731915 False False Warszawa 2017-12-21 2017-12-12 14 D 22.0923840356
FN_6/17 HH_jj 29 angielski 21.5526292497 4.73403906285 38.3712194365 625.02624824 True False Londyn 2017-07-29 2017-07-16 7 D 11.876584357
FN_7/17 GG_bb 2 polski 1623.18418833 1023.46894469 2222.89943197 3246.36837667 False False Warszawa 2018-12-09 2018-12-09 14 D 20.2509725022
FN_14/17 FF_aa 9 polski 1467.53903112 1104.9356493 1830.14241294 13207.8512801 False False Warszawa 2018-02-10 2018-02-10 30 D 29.6833098185
